Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN,Rating Count,Rating,Price,Price Source
The Tale of Chun Hyang,춘향전,UNITED STATES,English(English),nan,nan,Cho Ryong Chul,N,Blackmask.Com,2012,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9781608724826,188.0,4.16,4.99,Kindle
The Black Orb,절망의 구,UNITED STATES,English(English),Ewhan Kim,김이환,Sean Lin Halbert,N,MIRA,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780778387343,216.0,3.19,14.99,Kindle
Neue Erzählungen von der goldenen Schildkröte,김시습 선집,GERMANY,German(Deutsch),Kim Sisŭp,김시습,Dennis Würthner,N,Reclam Verlag,2025,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9783150115305,-1.0,-1.0,-1.0,N/A
The Greatest Short Stories of Kim Yu-jeong,김유정 단편선,UNKNOWN,English(English),Kim Yu-Jeong,김유정,Hayoung Kim,N,Hangeul House,2024,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9798227957689,-1.0,-1.0,-1.0,N/A
Return to the DallerGut Dream Department Store,달러구트 꿈 백화점 2,UNITED KINGDOM,English(English),Miye Lee,이미예,Sandy Joosun Lee,N,Wildfire,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9781035412778,2351.0,4.06,10.99,Kindle
Your Neighbour&apos;s Table,네 이웃의 식탁,UNITED KINGDOM,English(English),Gu Byeong-mo,구병모,Chi-young Kim,N,Wildfire,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781035416479,1115.0,3.44,12.99,Kindle
ESTELA DE CONDENSACIÓN,비행운,SPAIN,Spanish(Español),Ae-ran Kim,김애란,"Han Seoa,Ana González Llorente",Y,Quaterni,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9788412821673,344.0,4.22,-1.0,N/A
La cocina de los libros de Soyangri,책들의 부엌,SPAIN,Spanish(Español),Kim Jee-hye,김지혜,"Héctor Nicolás Braessas,Joo So Mee",N,Letras de plata,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788492919840,703.0,3.74,9.02,Kindle
多賢的祕密貼文：我的真心,체리새우 : 비밀글입니다,TAIWAN,Chinese(繁體),黃英美,황영미,簡郁璇,Y,時報出版,2025,"KDC구분 > literature > Korean Literature > Korean Fiction > 21st century
KDC구분 > literature > Korean Literature > Children and Adolescents",9786264191098,19.0,3.37,9.3,Kindle
Quiero morir pero quiero comer tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,SPAIN,Spanish(Español),Baek Sehee,백세희,Paula Martínez Gual,N,Ediciones  Urano,2023,KDC구분 > literature > Korean Literature > Essay > 21st century,‎ 9788492917211,76502.0,3.24,8.11,Kindle
The Legend of Lady Byeoksa,벽사아씨전,GERMANY,German(Deutsch),Esther Park,박에스더,"Alexandra Dickmann,Julia Zachulski",N,Bramble,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9783426563847,76.0,3.38,13.99,Kindle
MIT ÅR MED KERAMIK OG KÆRLIGHED,공방의 계절,DENMARK,Danish(Dansk),YEON SOMIN,연소민,Sofie Theilade Nyland Brodersen,N,Gads Forlag,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788712077121,2005.0,3.76,11.99,Kindle
L&apos;ora tra il lupo e il cane,개와 늑대의 시간,ITALY,Italian(Italiano),Kyung-uk KIM,김경욱,Rosanna De lucidibus,Y,Atmosphere Libri,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9788865644577,3.0,4.33,-1.0,N/A
کتاب افسانه‌هایی از سرزمین گل ختمی (پنسوری ۲),한국고전소설선,IRAN,Persian(فارسی),nan,nan,nan,Y,Eajaz,0,KDC구분 > literature > Korean Literature,9786228037998,-1.0,-1.0,-1.0,N/A
Крайнебо 2,수평선 2,UKRAINE,Ukrainian(Українська),Джіхун Чон,정지훈,Ханна Кузьменко,Y,VARVAR,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786170989062,789.0,4.43,-1.0,N/A
Крайнебо 1,수평선 1,UKRAINE,Ukrainian(Українська),Джіхун Чон,정지훈,Ханна Кузьменко,Y,VARVAR,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786170989055,2145.0,4.31,-1.0,N/A
Snowy Day and Other Stories,눈 오는 날,UNITED STATES,English(English),Lee Chang-dong,이창동,"Yoosup Chang,Heinz Insu Fenkle",N,Penguin Press,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9780593657256,40.0,3.95,13.99,Kindle
"I&apos;m Not Lazy, I&apos;m on Energy Saving Mode",게으른 게 아니라 충전 중입니다,UNITED KINGDOM,English(English),Dancingsnail,댄싱스네일,Clare Richards,N,Lagom,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9781785122361,593.0,3.95,-1.0,N/A
Hong Gil Dong,홍길동전,GERMANY,German(Deutsch),Heo Gyun,허균,Hanover Square Press,N,nan,0,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,‎ 9783746068350,3.0,2.67,-1.0,N/A
La lavandería de almas de Marigold,메리골드 마음 세탁소,SPAIN,Spanish(Español),Jungeun Yun,윤정은,Paola Díez Cidoncha,N,Plata,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788492919796,4034.0,3.37,8.12,Kindle
行李箱,트렁크,TAIWAN,Chinese(繁體),金呂玲,김려령,黃千真,N,尖端出版,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786263776616,1419.0,2.93,12.99,Kindle
La leggenda della Cacciatrice di Spiriti,벽사아씨전,ITALY,Italian(Italiano),Esther Park,박에스더,Giulia Ratti,N,Mondadori,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788804793304,76.0,3.38,13.99,Kindle
El pájaro que bebe lágrimas,눈물을 마시는 새 1,SPAIN,Spanish(Español),Lee Young-do,이영도,Ulises Tindon Manzano,N,Minotauro,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788445017098,969.0,4.19,9.99,Kindle
Amor na Grande Cidade,대도시의 사랑법,PORTUGAL,Portuguese(Português),Sang Young Park,박상영,Paulo M Morais,Y,Dom Quixote,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789722084529,14706.0,3.68,9.99,Kindle
Meu Amigo Kim Jong-un,내 친구 김정은,PORTUGAL,Portuguese(Português),Keum Suk Gendry-Kim,김금숙,Yun Jung Im,Y,Pipoca e Nanquim,2024,KDC구분 > literature > Korean Literature,9786554481045,45.0,4.27,25.99,Kindle
Le bugie sepolte nel mio giardino,마당이 있는 집,ITALY,Italian(Italiano),Kim Jinyoung,김진영,Althea Volpe,Y,Giunti Editore,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9788809926325,597.0,3.89,12.99,Kindle
"A Ghost, a Thief, and Love","유령, 도둑, 사랑",SOUTH KOREA,English(English),Han Jisan,한지산,Lynn Suh,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627265,-1.0,-1.0,-1.0,N/A
Cold Reading,콜드 리딩,SOUTH KOREA,English(English),Kang Hyebin,강혜빈,Rieux Choi,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627296,-1.0,-1.0,-1.0,N/A
Song of the Mushroom,버섯의 노래,SOUTH KOREA,English(English),Lee Sangguk,이상국,Deborah Kim,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627197,-1.0,-1.0,-1.0,N/A
The King of Ghosts,귀신의 왕,SOUTH KOREA,English(English),Kim An,김안,Jein Han,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627302,-1.0,-1.0,-1.0,N/A
Despedidas Impossíveis,작별하지 않는다,PORTUGAL,Portuguese(Português),Han Kang,한강,nan,N,Dom Quixote,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789722083959,9290.0,3.94,13.99,Kindle
Red Sword,붉은 칼,UNITED STATES,English(English),정보라,정보라,Anton Hur,Y,Honford Star,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9781915829078,6.0,3.67,11.49,Kindle
A Thousand Blues,천 개의 파랑,UNITED STATES,English(English),천선란,천선란,Chi-Young Kim,N,Transworld Publishers Ltd,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781529938029,236.0,4.02,18.99,Kindle
The Midnight Shift,밤에 찾아오는 구원자,UNITED STATES,English(English),천선란,천선란,Gene Png,N,Bloomsbury Publishing,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9781526679833,-1.0,-1.0,-1.0,N/A
Counterattacks at Thirty,서른의 반격,UNITED STATES,English(English),Sohn Won-pyung,손원평,Sean Lin Halbert,N,Harper Collins,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780063378100,358.0,3.47,14.99,Kindle
Blowfish,복어,UNITED STATES,English(English),Cho Gyeongran,조경란,Chi-Young Kim,N,Astra House,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9781662601781,2.0,3.5,8.99,Kindle
The Second Chance Convenience Store,불편한 편의점,UNITED STATES,English(English),Kim Hoyeon,김호연,Janet Hong,N,Harper Perennial,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780063354777,8027.0,3.95,11.99,Kindle
Snowglobe 2,스노볼 2,UNITED STATES,English(English),Soyoung Park,박소영,Joungmin Lee Comfort,N,nan,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9780593809143,13.0,4.23,-1.0,N/A
照明商店 1,조명가게,CHINA,Chinese(简体),Kang Pool,강풀,Tian Han,Y,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635,-1.0,-1.0,-1.0,N/A
照明商店 2,조명가게,CHINA,Chinese(简体),姜草 著,강풀,Tian Han,Y,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635,-1.0,-1.0,-1.0,N/A
照明商店  3,조명가게,CHINA,Chinese(简体),姜草 著,강풀,Tian Han,N,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635,-1.0,-1.0,-1.0,N/A
متجر البقالة المزعج,불편한 편의점,SAUDI ARABIA,Arabic(اللغة العربية),كيم هو يون,김호연,منار احمد,Y,الدار العربية للعلوم ناشرون,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786038440223,-1.0,-1.0,-1.0,N/A
Groapa,홀,ROMANIA,Romanian(Română),Hye-young Pyun,편혜영,Virgil-Mihai Țâru,Y,ALICE BOOKS,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786069569283,8537.0,3.35,12.99,Kindle
Günbatımında,해질 무렵,TURKIYE,Turkish(Türkçe),Hwang Sok yong,황석영,S. Göksel türközü,Y,Doğan Kitap,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786256162761,1973.0,3.68,12.99,Kindle
Bonqsun bacı,봉순이 언니,AZERBAIJAN,Azerbaijani(Azərbaycan dili),Qonq Ci Yonq,공지영,Bahar Əliyeva,Y,Qanun Nəşriyyatı,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9789952577815,-1.0,-1.0,-1.0,N/A
单纯的真心,단순한 진심,CHINA,Chinese(简体),赵海珍,조해진,梅雪,Y,浙江人民出版社,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787213108174,0.0,0.0,-1.0,N/A
We Do Not Part,작별하지 않는다,UNITED KINGDOM,English(English),Han Kang,한강,"e. yaewon,Paige Aniyah Morris",Y,Hamish Hamilton,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780241600269,9290.0,3.94,13.99,Kindle
"Какво се случи с мъжа, заклещен в асансьора",김영하 단편선-엘리베이터에 낀 그 남자는 어떻게 되었나-,BULGARIA,Bulgarian(български),Ким Йонха,김영하,Ирина Сотирова,Y,Rosette Publishing House,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9786199304501,437.0,3.49,-1.0,N/A
私たちのテラスで、終わりを迎えようとする世界に乾杯,아라의 소설,JAPAN,Japanese(日本語),チョン・セラン,정세랑,すんみ,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784152103741,-1.0,-1.0,-1.0,N/A
La Librería de las ilusiones,환상서점: 잠 못 이루는 밤 되시길 바랍니다,SPAIN,Spanish(Español),So Seo-rim,소서림,Ana Barragán,N,Newton Compton Editores,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788410359161,329.0,3.33,6.99,Kindle
Die Legende vom Tränenvogel 3,눈물을 마시는 새 3,GERMANY,German(Deutsch),Lee Young-do,이영도,"Sun Young Yun,Philipp Haas,Alexandra Schiefert",Y,Heyne Verlag,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9783453274631,124.0,4.35,-1.0,N/A
涙を呑む鳥 1,눈물을 마시는 새 1,JAPAN,Japanese(日本語),イ・ヨンド,이영도,小西 直子,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103512,-1.0,-1.0,-1.0,N/A
涙を呑む鳥 1,눈물을 마시는 새 1,JAPAN,Japanese(日本語),イ・ヨンド,이영도,小西 直子,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103529,-1.0,-1.0,-1.0,N/A
Η ακρόαση,경청,GREECE,Greek(Ελληνική),ΧΙΕ-ΤΖΙΝ ΚΙΜ,김혜진,ΤΖΙΩΤΗ ΑΜΑΛΙΑ,Y,ΙΚΑΡΟΣ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789605726942,713.0,3.66,9.99,Kindle
Wieloryb,고래,POLAND,Polish(Polski),Cheon Myeong-kwan,천명관,Anna Diniejko-Wąs,Y,Znak,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788324096695,3802.0,3.95,-1.0,N/A
Pottenbakken voor geluk,공방의 계절,NETHERLANDS,Dutch(Nederlands),Yeon Somin,연소민,"Mattho Mandersloot,David Pfaff",Y,Ambo Anthos,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789026366840,2005.0,3.76,11.99,Kindle
派遣者たち,파견자들,JAPAN,Japanese(日本語),キム・チョヨプ,김초엽,カン・バンファ,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103758,-1.0,-1.0,-1.0,N/A
"韓國,男子","한국, 남자",JAPAN,Japanese(日本語),チェ・テソプ,최태섭,"小山内園子,すんみ",Y,みすず書房,2024,KDC구분 > Social science > Political >  economic >  social >  cultural circumstances and history > Social and cultural circumstances in Korea,9784622097457,-1.0,-1.0,-1.0,N/A
光っていません,유령의 마음으로,JAPAN,Japanese(日本語),イム・ソヌ,임선우,小山内 園子,N,東京創元社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784488011413,-1.0,-1.0,-1.0,N/A
The Trunk,트렁크,UNITED KINGDOM,English(English),Kim Ryeo-ryeong,김려령,The KoLab,N,Transworld Publishers Ltd,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781529949353,1419.0,2.93,12.99,Kindle
黙々,묵묵,JAPAN,Japanese(日本語),高秉權,고병권,影本剛,N,明石書店,2023,KDC구분 > literature > Korean Literature > Essay > 21st century,9784750356549,-1.0,-1.0,-1.0,N/A
Els adeus impossibles,작별하지 않는다,SPAIN,Catalan(Català),Han Kang,한강,"Héctor López Bofill,Hye Young Yu",N,La Magrana,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788410009387,9290.0,3.94,10.99,Kindle
I decided to live as me,나는 나로 살기로 했다,GERMANY,German(Deutsch),Kim Suhyun,김수현,Anne Rudelt,N,dtv Verlagsgesellschaft mbH   Co. KG,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9783423352451,3699.0,4.01,10.99,Kindle
Imposible decir adiós,작별하지 않는다,SPAIN,Spanish(Español),Han Kang,한강,Sunme Yoon,N,Random House,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788439745006,9290.0,3.94,10.99,Kindle
Unmöglicher Abschied,작별하지 않는다,GERMANY,German(Deutsch),Han Kang,한강,Ki-Hyang Lee,N,aufbau,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783351041847,9290.0,3.94,13.99,Kindle
Narrativas populares de Joseon,조선 민담집,BRAZIL,Portuguese(Português),Im Bang,임방,James S. Gale,N,Laboralivros,2024,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786585806152,4.0,3.0,7.99,Kindle
Rumah Kaca di Ujung Bumi,지구 끝의 온실,INDONESIA,Indonesian(Bahasa Indonesia),Kim Choyeop,김초엽,Iingliana Tan,Y,Gramedia Pustaka Utama,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020679587,273.0,3.94,15.99,Kindle
Tales of Korea,조선의 민화,UNITED STATES,English(English),"Im Bang,Yi Ryuk","임방,이륙",James S. Gale,N,Tuttle Publishing,2022,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9780804855495,40.0,3.5,9.99,Kindle
Contos fantásticos coreanos,조선의 민화,BRAZIL,Portuguese(Português),"Im Bang,Yi Ryuk","임방,이륙","Ana Cláudia Ramuski,Felipe Medeiros",N,BuruRu,2021,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786599435706,7.0,2.43,4.99,Kindle
大眾文化的女性主義指南,을들의 당나귀 귀,CHINA,Chinese(简体),韩国女性劳动者会,한국여성노동자회,田禾子,Y,廣西師範大學出版社,2024,KDC구분 > Social science > Sociology and social problems,9787559870995,12.0,3.5,-1.0,N/A
The Great Homecoming,Die große Heimkehr,UNITED KINGDOM,English(English),Anna Kim,Anna Kim,Jamie Lee Searle,N,Granta,2020,KDC구분 > literature > German literature,9781846276552,105.0,3.46,-1.0,N/A
Älä jätä hyvästejä,작별하지 않는다,FINLAND,Finnish(Suomi),Han Kang,한강,Taru Salminen,Y,Gummerus,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789512431144,-1.0,-1.0,-1.0,N/A
Przeklęty królik,저주토끼,POLAND,Polish(Polski),Bora Chung,정보라,Marta Niewiadomska,Y,Tajfuny,2024,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy",9788367034210,34708.0,3.77,0.0,Kindle Unlimited
Sklep pory deszczowej,비가 오면 열리는 상점,POLAND,Polish(Polski),You Yeong-Gwang,유영광,Dominika Chybowska-Jang,Y,Wydawnictwo Albatros,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788383614175,2793.0,3.49,12.99,Kindle
Non dico addio,작별하지 않는다,ITALY,Italian(Italiano),Han Kang,한강,Lia Iovenitti,Y,Adelphi,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788845939327,9290.0,3.94,14.99,Kindle
Kærlighed i Seoul,대도시의 사랑법,DENMARK,Danish(Dansk),Sang Young Park,박상영,Sofie Theilade Nyland Brodersen,Y,Forlaget Korridor,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788794192354,14706.0,3.68,9.99,Kindle
Gizemli Çikolata Dükkanı,수상한 초콜릿 가게,TURKIYE,Turkish(Türkçe),Kim Ye Eun,김예은,Derya Çelik,Y,Doğan Kitap,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9786256932746,169.0,3.05,-1.0,N/A
Uśmiech Shoko,쇼코의 미소,POLAND,Polish(Polski),Choi Eunyoung,최은영,Marta Niewiadomska,Y,Tajfuny,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788367034197,6149.0,3.92,14.99,Kindle
ROMPECABEZAS,퍼즐,SPAIN,Spanish(Español),KWON Ji-ye,권지예,Lee Hye-kyung Mercedes,Y,Quaterni,2024,KDC구분 > literature > Korean Literature > Korean Drama,9788412821635,5.0,3.2,-1.0,N/A
Zamanı Aşıp Sana Geleceğim,세계를 건너 너에게 갈게,TURKIYE,Turkish(Türkçe),Lee Kkoch-nim,이꽃님,Müge Kübra Oğuz,Y,Athica Yayinlari,2024,KDC구분 > literature > Korean Literature > Children and Adolescents,9786256335776,281.0,4.31,7.99,Kindle
Mañana será otro día,내일은 또 다른 날,SPAIN,Spanish(Español),KEUM SUK GENDRY-KIM,김금숙,Joo Hasun,Y,Reservoir Books,2024,KDC구분 > literature > Korean Literature,9788419437907,361.0,4.22,11.99,Kindle
我的出走日記1,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",Y,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383,-1.0,-1.0,-1.0,N/A
我的出走日記2,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",Y,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383,-1.0,-1.0,-1.0,N/A
我的出走日記3,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",N,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383,-1.0,-1.0,-1.0,N/A
我的出走日記4,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",N,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383,-1.0,-1.0,-1.0,N/A
سلام تحت ظلال الجنة,태평천하,UNITED ARAB EMIRATES,Arabic(اللغة العربية),تشاي مان شيك,채만식,الاء فتحى,Y,ثقافة للنشر والتوزيع,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789777654180,0.0,0.0,6.99,Kindle
Věž srdcí,눈물을 마시는 새 1,CZECH REPUBLIC,Czech(Český Jazyk),Lee Yeongdo,이영도,"Karolína Šamánková,Petra Lee,Kateřina Kocinová",Y,Host,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788027520640,969.0,4.19,-1.0,N/A
他人の家,타인의 집,JAPAN,Japanese(日本語),ソン・ウォンピョン,손원평,吉原育子,Y,祥伝社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9784396636388,-1.0,-1.0,-1.0,N/A
0％に向かって,0%를 향하여,JAPAN,Japanese(日本語),ソ・イジェ,서이제,原田いず,Y,左右社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784865284393,-1.0,-1.0,-1.0,N/A
誰もが別れる一日,모두가 헤어지는 하루,JAPAN,Japanese(日本語),ソ・ユミ,서유미,"金みんじょん,宮里綾羽",Y,明石書店,2024,KDC구분 > literature > Korean Literature,9784750358086,-1.0,-1.0,-1.0,N/A
我們都有一顆星星,연수,CHINA,Chinese(简体),张琉珍,장류진,胡椒筒,Y,新經典文化,2024,KDC구분 > literature > Korean Literature,9786267421338,11.0,4.27,8.71,Kindle
ΤΟ ΧΡΟΝΙΚΟ ΤΟΥ ΚΥΡΙΟΥ ΧΑΝ,한씨연대기,GREECE,Greek(Ελληνική),Χουάνγκ Σοκ Γιονγκ,황석영,Αμαλία Τζιώτη,Y,Εκδόσεις Καστανιώτη,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9789600373349,485.0,3.72,-1.0,N/A
Hana,하나의 경우,FRANCE,French(Français),"Lee Dongeun,Jeong Yiyong","이동은,정이용","Loïc Gendry,Lee Young-joo",Y,Ca et La,2024,KDC구분 > literature > Korean Literature,9782369904083,6.0,3.33,-1.0,N/A
I Decided to Live as Me,나는 나로 살기로 했다,UNITED KINGDOM,English(English),Kim Suhyun,김수현,Anton Hur,Y,Penguin Life,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9780143138228,3699.0,4.01,15.99,Kindle
Eine Bumerangfamilie,고령화 가족,GERMANY,German(Deutsch),Cheon Myungkwan,천명관,"Kyunghee Park,Matthias Augustin",Y,Weissbooks Verlag Berlin,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783863372163,112.0,3.57,-1.0,N/A
