Title,Original Title,Country,Translated Language,Author,Author Name,Translator,Translation and Publication Support,Publisher,Published Year,Classification,ISBN
多賢的祕密貼文：我的真心,체리새우 : 비밀글입니다,TAIWAN,Chinese(繁體),黃英美,황영미,簡郁璇,Y,時報出版,2025,"KDC구분 > literature > Korean Literature > Korean Fiction > 21st century
KDC구분 > literature > Korean Literature > Children and Adolescents",9786264191098
Quiero morir pero quiero comer tteokbokki,죽고 싶지만 떡볶이는 먹고 싶어,SPAIN,Spanish(Español),Baek Sehee,백세희,Paula Martínez Gual,N,Ediciones  Urano,2023,KDC구분 > literature > Korean Literature > Essay > 21st century,‎ 9788492917211
The Legend of Lady Byeoksa,벽사아씨전,GERMANY,German(Deutsch),Esther Park,박에스더,"Alexandra Dickmann,Julia Zachulski",N,Bramble,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9783426563847
MIT ÅR MED KERAMIK OG KÆRLIGHED,공방의 계절,DENMARK,Danish(Dansk),YEON SOMIN,연소민,Sofie Theilade Nyland Brodersen,N,Gads Forlag,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788712077121
L&apos;ora tra il lupo e il cane,개와 늑대의 시간,ITALY,Italian(Italiano),Kyung-uk KIM,김경욱,Rosanna De lucidibus,Y,Atmosphere Libri,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9788865644577
کتاب افسانه‌هایی از سرزمین گل ختمی (پنسوری ۲),한국고전소설선,IRAN,Persian(فارسی),,,,Y,Eajaz,0,KDC구분 > literature > Korean Literature,9786228037998
Крайнебо 2,수평선 2,UKRAINE,Ukrainian(Українська),Джіхун Чон,정지훈,Ханна Кузьменко,Y,VARVAR,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786170989062
Крайнебо 1,수평선 1,UKRAINE,Ukrainian(Українська),Джіхун Чон,정지훈,Ханна Кузьменко,Y,VARVAR,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786170989055
Snowy Day and Other Stories,눈 오는 날,UNITED STATES,English(English),Lee Chang-dong,이창동,"Yoosup Chang,Heinz Insu Fenkle",N,Penguin Press,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9780593657256
"I&apos;m Not Lazy, I&apos;m on Energy Saving Mode",게으른 게 아니라 충전 중입니다,UNITED KINGDOM,English(English),Dancingsnail,댄싱스네일,Clare Richards,N,Lagom,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9781785122361
Hong Gil Dong,홍길동전,GERMANY,German(Deutsch),Heo Gyun,허균,Hanover Square Press,N,,0,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,‎ 9783746068350
La lavandería de almas de Marigold,메리골드 마음 세탁소,SPAIN,Spanish(Español),Jungeun Yun,윤정은,Paola Díez Cidoncha,N,Plata,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788492919796
行李箱,트렁크,TAIWAN,Chinese(繁體),金呂玲,김려령,黃千真,N,尖端出版,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786263776616
La leggenda della Cacciatrice di Spiriti,벽사아씨전,ITALY,Italian(Italiano),Esther Park,박에스더,Giulia Ratti,N,Mondadori,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788804793304
El pájaro que bebe lágrimas,눈물을 마시는 새 1,SPAIN,Spanish(Español),Lee Young-do,이영도,Ulises Tindon Manzano,N,Minotauro,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788445017098
Amor na Grande Cidade,대도시의 사랑법,PORTUGAL,Portuguese(Português),Sang Young Park,박상영,Paulo M Morais,Y,Dom Quixote,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789722084529
Meu Amigo Kim Jong-un,내 친구 김정은,PORTUGAL,Portuguese(Português),Keum Suk Gendry-Kim,김금숙,Yun Jung Im,Y,Pipoca e Nanquim,2024,KDC구분 > literature > Korean Literature,9786554481045
Le bugie sepolte nel mio giardino,마당이 있는 집,ITALY,Italian(Italiano),Kim Jinyoung,김진영,Althea Volpe,Y,Giunti Editore,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Detective >  Adventure,9788809926325
"A Ghost, a Thief, and Love","유령, 도둑, 사랑",SOUTH KOREA,English(English),Han Jisan,한지산,Lynn Suh,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627265
Cold Reading,콜드 리딩,SOUTH KOREA,English(English),Kang Hyebin,강혜빈,Rieux Choi,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627296
Song of the Mushroom,버섯의 노래,SOUTH KOREA,English(English),Lee Sangguk,이상국,Deborah Kim,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627197
The King of Ghosts,귀신의 왕,SOUTH KOREA,English(English),Kim An,김안,Jein Han,Y,Asia publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9791156627302
Despedidas Impossíveis,작별하지 않는다,PORTUGAL,Portuguese(Português),Han Kang,한강,,N,Dom Quixote,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789722083959
Red Sword,붉은 칼,UNITED STATES,English(English),정보라,정보라,Anton Hur,Y,Honford Star,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9781915829078
A Thousand Blues,천 개의 파랑,UNITED STATES,English(English),천선란,천선란,Chi-Young Kim,N,Transworld Publishers Ltd,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781529938029
The Midnight Shift,밤에 찾아오는 구원자,UNITED STATES,English(English),천선란,천선란,Gene Png,N,Bloomsbury Publishing,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9781526679833
Counterattacks at Thirty,서른의 반격,UNITED STATES,English(English),Sohn Won-pyung,손원평,Sean Lin Halbert,N,Harper Collins,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780063378100
Blowfish,복어,UNITED STATES,English(English),Cho Gyeongran,조경란,Chi-Young Kim,N,Astra House,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9781662601781
The Second Chance Convenience Store,불편한 편의점,UNITED STATES,English(English),Kim Hoyeon,김호연,Janet Hong,N,Harper Perennial,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780063354777
Snowglobe 2,스노볼 2,UNITED STATES,English(English),Soyoung Park,박소영,Joungmin Lee Comfort,N,,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9780593809143
照明商店 1,조명가게,CHINA,Chinese(简体),Kang Pool,강풀,Tian Han,Y,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635
照明商店 2,조명가게,CHINA,Chinese(简体),姜草 著,강풀,Tian Han,Y,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635
照明商店  3,조명가게,CHINA,Chinese(简体),姜草 著,강풀,Tian Han,N,文化发展出版社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9787514243635
متجر البقالة المزعج,불편한 편의점,SAUDI ARABIA,Arabic(اللغة العربية),كيم هو يون,김호연,منار احمد,Y,الدار العربية للعلوم ناشرون,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786038440223
Groapa,홀,ROMANIA,Romanian(Română),Hye-young Pyun,편혜영,Virgil-Mihai Țâru,Y,ALICE BOOKS,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786069569283
Günbatımında,해질 무렵,TURKIYE,Turkish(Türkçe),Hwang Sok yong,황석영,S. Göksel türközü,Y,Doğan Kitap,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786256162761
Bonqsun bacı,봉순이 언니,AZERBAIJAN,Azerbaijani(Azərbaycan dili),Qonq Ci Yonq,공지영,Bahar Əliyeva,Y,Qanun Nəşriyyatı,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > 1945-1999,9789952577815
单纯的真心,단순한 진심,CHINA,Chinese(简体),赵海珍,조해진,梅雪,Y,浙江人民出版社,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787213108174
We Do Not Part,작별하지 않는다,UNITED KINGDOM,English(English),Han Kang,한강,"e. yaewon,Paige Aniyah Morris",Y,Hamish Hamilton,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9780241600269
"Какво се случи с мъжа, заклещен в асансьора",김영하 단편선-엘리베이터에 낀 그 남자는 어떻게 되었나-,BULGARIA,Bulgarian(български),Ким Йонха,김영하,Ирина Сотирова,Y,Rosette Publishing House,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9786199304501
私たちのテラスで、終わりを迎えようとする世界に乾杯,아라의 소설,JAPAN,Japanese(日本語),チョン・セラン,정세랑,すんみ,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784152103741
La Librería de las ilusiones,환상서점: 잠 못 이루는 밤 되시길 바랍니다,SPAIN,Spanish(Español),So Seo-rim,소서림,Ana Barragán,N,Newton Compton Editores,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788410359161
Die Legende vom Tränenvogel 3,눈물을 마시는 새 3,GERMANY,German(Deutsch),Lee Young-do,이영도,"Sun Young Yun,Philipp Haas,Alexandra Schiefert",Y,Heyne Verlag,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9783453274631
涙を呑む鳥 1,눈물을 마시는 새 1,JAPAN,Japanese(日本語),イ・ヨンド,이영도,小西 直子,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103512
涙を呑む鳥 1,눈물을 마시는 새 1,JAPAN,Japanese(日本語),イ・ヨンド,이영도,小西 直子,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103529
Η ακρόαση,경청,GREECE,Greek(Ελληνική),ΧΙΕ-ΤΖΙΝ ΚΙΜ,김혜진,ΤΖΙΩΤΗ ΑΜΑΛΙΑ,Y,ΙΚΑΡΟΣ,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789605726942
Wieloryb,고래,POLAND,Polish(Polski),Cheon Myeong-kwan,천명관,Anna Diniejko-Wąs,Y,Znak,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788324096695
Pottenbakken voor geluk,공방의 계절,NETHERLANDS,Dutch(Nederlands),Yeon Somin,연소민,"Mattho Mandersloot,David Pfaff",Y,Ambo Anthos,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789026366840
派遣者たち,파견자들,JAPAN,Japanese(日本語),キム・チョヨプ,김초엽,カン・バンファ,Y,早川書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784152103758
"韓國,男子","한국, 남자",JAPAN,Japanese(日本語),チェ・テソプ,최태섭,"小山内園子,すんみ",Y,みすず書房,2024,KDC구분 > Social science > Political >  economic >  social >  cultural circumstances and history > Social and cultural circumstances in Korea,9784622097457
光っていません,유령의 마음으로,JAPAN,Japanese(日本語),イム・ソヌ,임선우,小山内 園子,N,東京創元社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9784488011413
The Trunk,트렁크,UNITED KINGDOM,English(English),Kim Ryeo-ryeong,김려령,The KoLab,N,Transworld Publishers Ltd,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9781529949353
黙々,묵묵,JAPAN,Japanese(日本語),高秉權,고병권,影本剛,N,明石書店,2023,KDC구분 > literature > Korean Literature > Essay > 21st century,9784750356549
Els adeus impossibles,작별하지 않는다,SPAIN,Catalan(Català),Han Kang,한강,"Héctor López Bofill,Hye Young Yu",N,La Magrana,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788410009387
I decided to live as me,나는 나로 살기로 했다,GERMANY,German(Deutsch),Kim Suhyun,김수현,Anne Rudelt,N,dtv Verlagsgesellschaft mbH   Co. KG,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9783423352451
Imposible decir adiós,작별하지 않는다,SPAIN,Spanish(Español),Han Kang,한강,Sunme Yoon,N,Random House,2025,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788439745006
Unmöglicher Abschied,작별하지 않는다,GERMANY,German(Deutsch),Han Kang,한강,Ki-Hyang Lee,N,aufbau,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783351041847
Narrativas populares de Joseon,조선 민담집,BRAZIL,Portuguese(Português),Im Bang,임방,James S. Gale,N,Laboralivros,2024,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786585806152
Rumah Kaca di Ujung Bumi,지구 끝의 온실,INDONESIA,Indonesian(Bahasa Indonesia),Kim Choyeop,김초엽,Iingliana Tan,Y,Gramedia Pustaka Utama,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9786020679587
Tales of Korea,조선의 민화,UNITED STATES,English(English),"Im Bang,Yi Ryuk","임방,이륙",James S. Gale,N,Tuttle Publishing,2022,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9780804855495
Contos fantásticos coreanos,조선의 민화,BRAZIL,Portuguese(Português),"Im Bang,Yi Ryuk","임방,이륙","Ana Cláudia Ramuski,Felipe Medeiros",N,BuruRu,2021,KDC구분 > literature > Korean Literature > Korean Fiction > Joseon Dynasty,9786599435706
大眾文化的女性主義指南,을들의 당나귀 귀,CHINA,Chinese(简体),韩国女性劳动者会,한국여성노동자회,田禾子,Y,廣西師範大學出版社,2024,KDC구분 > Social science > Sociology and social problems,9787559870995
The Great Homecoming,Die große Heimkehr,UNITED KINGDOM,English(English),Anna Kim,Anna Kim,Jamie Lee Searle,N,Granta,2020,KDC구분 > literature > German literature,9781846276552
Älä jätä hyvästejä,작별하지 않는다,FINLAND,Finnish(Suomi),Han Kang,한강,Taru Salminen,Y,Gummerus,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9789512431144
Przeklęty królik,저주토끼,POLAND,Polish(Polski),Bora Chung,정보라,Marta Niewiadomska,Y,Tajfuny,2024,"KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual)
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Mystery >  Thriller >  Horror
KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy",9788367034210
Sklep pory deszczowej,비가 오면 열리는 상점,POLAND,Polish(Polski),You Yeong-Gwang,유영광,Dominika Chybowska-Jang,Y,Wydawnictwo Albatros,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788383614175
Non dico addio,작별하지 않는다,ITALY,Italian(Italiano),Han Kang,한강,Lia Iovenitti,Y,Adelphi,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788845939327
Kærlighed i Seoul,대도시의 사랑법,DENMARK,Danish(Dansk),Sang Young Park,박상영,Sofie Theilade Nyland Brodersen,Y,Forlaget Korridor,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788794192354
Gizemli Çikolata Dükkanı,수상한 초콜릿 가게,TURKIYE,Turkish(Türkçe),Kim Ye Eun,김예은,Derya Çelik,Y,Doğan Kitap,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Romance,9786256932746
Uśmiech Shoko,쇼코의 미소,POLAND,Polish(Polski),Choi Eunyoung,최은영,Marta Niewiadomska,Y,Tajfuny,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788367034197
ROMPECABEZAS,퍼즐,SPAIN,Spanish(Español),KWON Ji-ye,권지예,Lee Hye-kyung Mercedes,Y,Quaterni,2024,KDC구분 > literature > Korean Literature > Korean Drama,9788412821635
Zamanı Aşıp Sana Geleceğim,세계를 건너 너에게 갈게,TURKIYE,Turkish(Türkçe),Lee Kkoch-nim,이꽃님,Müge Kübra Oğuz,Y,Athica Yayinlari,2024,KDC구분 > literature > Korean Literature > Children and Adolescents,9786256335776
Mañana será otro día,내일은 또 다른 날,SPAIN,Spanish(Español),KEUM SUK GENDRY-KIM,김금숙,Joo Hasun,Y,Reservoir Books,2024,KDC구분 > literature > Korean Literature,9788419437907
我的出走日記1,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",Y,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383
我的出走日記2,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",Y,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383
我的出走日記3,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",N,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383
我的出走日記4,나의 해방일지 대본집,CHINA,Chinese(繁體),朴海英,박해영,"黃寶嬋,莫莉,郭宸瑋",N,新經典文化,2024,KDC구분 > literature > Korean Literature > Korean Drama > Modern Drama > TV script,9786267421383
سلام تحت ظلال الجنة,태평천하,UNITED ARAB EMIRATES,Arabic(اللغة العربية),تشاي مان شيك,채만식,الاء فتحى,Y,ثقافة للنشر والتوزيع,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century,9789777654180
Věž srdcí,눈물을 마시는 새 1,CZECH REPUBLIC,Czech(Český Jazyk),Lee Yeongdo,이영도,"Karolína Šamánková,Petra Lee,Kateřina Kocinová",Y,Host,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9788027520640
他人の家,타인의 집,JAPAN,Japanese(日本語),ソン・ウォンピョン,손원평,吉原育子,Y,祥伝社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Others,9784396636388
0％に向かって,0%를 향하여,JAPAN,Japanese(日本語),ソ・イジェ,서이제,原田いず,Y,左右社,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784865284393
誰もが別れる一日,모두가 헤어지는 하루,JAPAN,Japanese(日本語),ソ・ユミ,서유미,"金みんじょん,宮里綾羽",Y,明石書店,2024,KDC구분 > literature > Korean Literature,9784750358086
我們都有一顆星星,연수,CHINA,Chinese(简体),张琉珍,장류진,胡椒筒,Y,新經典文化,2024,KDC구분 > literature > Korean Literature,9786267421338
ΤΟ ΧΡΟΝΙΚΟ ΤΟΥ ΚΥΡΙΟΥ ΧΑΝ,한씨연대기,GREECE,Greek(Ελληνική),Χουάνγκ Σοκ Γιονγκ,황석영,Αμαλία Τζιώτη,Y,Εκδόσεις Καστανιώτη,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 20th century > Short Story,9789600373349
Hana,하나의 경우,FRANCE,French(Français),"Lee Dongeun,Jeong Yiyong","이동은,정이용","Loïc Gendry,Lee Young-joo",Y,Ca et La,2024,KDC구분 > literature > Korean Literature,9782369904083
I Decided to Live as Me,나는 나로 살기로 했다,UNITED KINGDOM,English(English),Kim Suhyun,김수현,Anton Hur,Y,Penguin Life,2024,KDC구분 > literature > Korean Literature > Essay > 21st century,9780143138228
Eine Bumerangfamilie,고령화 가족,GERMANY,German(Deutsch),Cheon Myungkwan,천명관,"Kyunghee Park,Matthias Augustin",Y,Weissbooks Verlag Berlin,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783863372163
Biologicity,생물성,UNITED STATES,English(English),Shin Hae-uk,신해욱,Spencer Lee-Lenfield,Y,Black Ocean,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 21st century poetry,9781939568939
Der lange Weg zum Leben,인간 연습,GERMANY,German(Deutsch),Jeong-rae Jo,조정래,"Young-Suk Chang,Regine Nohejl",Y,EOS Verlag,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9783830682523
Czekanie,기다림,POLAND,Polish(Polski),KEUM SUK GENDRY-KIM,김금숙,Łukasz Janik,Y,Kultura Gniewu,2022,KDC구분 > Social science > Sociology and social problems,9788367360746
Ｊ・Ｊ・Ｊ三姉弟の世にも平凡な超能力,"재인, 재욱, 재훈",JAPAN,Japanese(日本語),チョン・セラン,정세랑,古川 綾子,N,亜紀書房,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9784750518633
Dokuz,나인,TURKIYE,Turkish(Türkçe),Cheon Seonran,천선란,Sevda kul,Y,YUZU KİTAP,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > SF >  Fantasy,9786259508306
La terre qui erre,떠도는 땅,FRANCE,French(Français),Kim Soom,김숨,"CHOE Ae-young,Anna BELLEMIN-NOËL",N,Decrescenzo,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Historical >  Biographical >  Political >  Social,9782367271156
The Three Way Tavern,고은 시선집,CANADA,English(English),KO UN,고은,"Claire You,Richard Silberg",N,University of California Press,2006,KDC구분 > literature > Korean Literature > Complete Collection >  Library > Complete Collection (individual),9780520246133
L’albero nudo,나목,ITALY,Italian(Italiano),Keum Suk Gendry-Kim,김금숙,Mary Lou Emberti Gialloreti,N,BAO Publishing,2024,KDC구분 > literature > Korean Literature > Reportage >  Misc.,9791256210787
La petite échoppe des jours heureux,연남동 빙굴빙굴 빨래방,FRANCE,French(Français),Kim Jiyun,김지윤,Marion Gilbert,N,City Edition,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782824640099
A Boat Ready to Set Sail,박용철 시선집,UNITED STATES,English(English),Pak Yong-chŏl,박용철,Sung-Il Lee,N,Wipf and Stock Publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry,9798385224890
Nine Peaks,구봉한시집,UNITED STATES,English(English),Rhee Sukho,이석호,Sung-Il Lee,N,Wipf and Stock Publishers,2024,KDC구분 > literature > Korean Literature > Korean Poetry > Classical Chinese poetry (including gwasi),978385222681
远海,먼 바다,CHINA,Chinese(简体),孔枝泳,공지영,徐丽红,N,北京十月文艺出版社,2023,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9787530223215
White Village,白邨遺稿,UNITED STATES,English(English),Yi Byŏng-ho,이병호,Sung-Il Lee,N,Wipf and Stock Publishers,2023,KDC구분 > literature > Korean Literature > Korean Poetry > 20th century poetry,9781666770957
Kuchnia książek,책들의 부엌,POLAND,Polish(Polski),Kim Jee-hye,김지혜,Marta Niewiadomska,Y,Czarna Owca,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9788382527124
MOI MOI,나나,FRANCE,French(Français),LEE Hee-young,이희영,"LEE So-yeong,Crystel Pinçonnat",Y,Decrescenzo éditeurs,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782367271330
ホテル物語,호텔 이야기,JAPAN,Japanese(日本語),イム・キョンソン,임경선,すんみ,Y,日之出出版,2024,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century > Short Story,9784838732869
Dix petits meurtres,단지 살인마,FRANCE,French(Français),CHOI Jae-hoon,최제훈,"Lim Young-hee,Catherine Biros",Y,Éditions Picquier,2022,KDC구분 > literature > Korean Literature > Korean Fiction > 21st century,9782809716061
